assetPk,assetId,assetName,isLocation,type,classificationName,manufacturerName,model,serial,priority,riskLevel,lastMaintainedWopk,parentPk,parentName
7946,100-COOKER-00102,"COOKER, O4300",false,A,COOKER,DUPPS COMPANY 720,0912016,,,,1675153,14935,O4300 Cooker Equipment
7947,100-SCREW CONVEYOR-858,"SCREW CONVEYOR, Cooker Sight Glass o4300",false,A,SCREW CONVEYOR,DUPPS COMPANY 720,6,,,,1679379,14935,O4300 Cooker Equipment
7948,100-HYDRAULIC UNIT-31,Hydraulic Unit O4300 Cooker Discharge Gate,false,A,HYDRAULIC UNIT,Jay Gee Manufacturing,,,,,1361426,14935,O4300 Cooker Equipment
7949,100-DRAINER-12,"DRAINER, O4300",false,A,DRAINER,Jay Gee Manufacturing,JAY GEE 2 DOOR DRAINER,,,,1679379,14935,O4300 Cooker Equipment
7950,100-ROTOLIFT-94,Rotolift 4300 Crax,false,A,ROTOLIFT,Jay Gee Manufacturing,12,,,,431424,7852,Obsolete Assets - Do not use
7951,100-ROTOLIFT-95,"ROTOLIFT, Poultry Plant Press Fines",false,A,ROTOLIFT,Jay Gee Manufacturing,9,,,,1679379,14919,PP Pressing
7952,100-SCREW CONVEYOR-859,"SCREW CONVEYOR, Poultry Plant Crax Discharge #2",false,A,SCREW CONVEYOR,Jay Gee Manufacturing,12,,,,1679379,14919,PP Pressing
7953,100-SCREW CONVEYOR-860,"SCREW CONVEYOR, Poultry Plant Crax Discharge #3",false,A,SCREW CONVEYOR,Jay Gee Manufacturing,12,,,,1679379,14919,PP Pressing
7954,100-SCREW CONVEYOR-861,"SCREW CONVEYOR, Poultry Plant Crax Cross Screw",false,A,SCREW CONVEYOR,Jay Gee Manufacturing,12,,,,1679379,14919,PP Pressing
7955,100-SCREW CONVEYOR-862,"SCREW CONVEYOR, Crax Bin #2 Leveling Screw",false,A,SCREW CONVEYOR,Jay Gee Manufacturing,12,,,,1679379,14919,PP Pressing
7956,100-SCREW CONVEYOR-863,"SCREW CONVEYOR, Cooker Discharge #1 o4300",false,A,SCREW CONVEYOR,Jay Gee Manufacturing,12,,,,1679379,14935,O4300 Cooker Equipment
7957,100-SCREW CONVEYOR-864,"SCREW CONVEYOR, Cooker Discharge #2 o4300",false,A,SCREW CONVEYOR,Jay Gee Manufacturing,9,,,,1679379,14935,O4300 Cooker Equipment
7958,100-SCREW CONVEYOR-865,"SCREW CONVEYOR, Poultry Plant Press #1 Feed",false,A,SCREW CONVEYOR,Jay Gee Manufacturing,9,,,,1679379,14919,PP Pressing
7959,100-SCREW CONVEYOR-866,"SCREW CONVEYOR, Press Fines Poultry",false,A,SCREW CONVEYOR,Jay Gee Manufacturing,9,,,,1679379,14919,PP Pressing
7960,100-SCREW CONVEYOR-867,"SCREW CONVEYOR, Poultry Plant Runaround #1",false,A,SCREW CONVEYOR,Jay Gee Manufacturing,9,,,,1679379,16279,TST & O4300
7961,100-SCREW CONVEYOR-868,"SCREW CONVEYOR, Poultry Plant Runaround #2",false,A,SCREW CONVEYOR,Jay Gee Manufacturing,9,,,,1679379,16279,TST & O4300
7962,100-SCREW CONVEYOR-869,"SCREW CONVEYOR, Poultry Plant Runaround #3",false,A,SCREW CONVEYOR,Jay Gee Manufacturing,9,,,,1679379,16279,TST & O4300
7963,100-SCREW CONVEYOR-870,"SCREW CONVEYOR, Poultry Plant Runaround #4",false,A,SCREW CONVEYOR,Jay Gee Manufacturing,9,,,,1679379,16279,TST & O4300
7964,100-SCREW CONVEYOR-871,"SCREW CONVEYOR, Poultry Plant Crax Discharge #1",false,A,SCREW CONVEYOR,Jay Gee Manufacturing,12,,,,1679379,14919,PP Pressing
7965,100-SEDIMENTER-14,"SEDIMENTER, TST & o4300",false,A,SEDIMENTER,Jay Gee Manufacturing,9,,,,1679379,16279,TST & O4300
7966,100-SCREW PRESS-00104,"SCREW PRESS, TST/O4300 1 (Dupps)",false,A,SCREW PRESS,HAARSLEV,210-074-07 (TYPE),,,,1679379,14919,PP Pressing
7967,100-PUMP-00111,"PUMP, o4300 Cooker Feed",false,A,PUMP,HAARSLEV,Haarslev HM35 - 009-24-096 (TYPE),,,,1677910,14917,PP Raw
7968,100-PUMP-821,"Pump ,O4300 Add Back Fat Tank 15",false,A,PUMP,ROPER,3611-HBRV,,,,1679379,14935,O4300 Cooker Equipment
7969,100-PUMP-822,"PUMP, O4300 Add Fat",false,A,PUMP,ROPER,Roper 3617 HBRV,,,,1679379,14935,O4300 Cooker Equipment
7970,100-CENTRIFUGE-41,"CENTRIFUGE, Poultry",false,A,CENTRIFUGE,IPE INDUSTRIAL PROCESS EQUIPMENT,375-IPE 09,,,,1679402,16279,TST & O4300
7971,100-PUMP-823,"PUMP, O4300 Condensate",false,A,PUMP,DEAN BROTHERS,MetPro PH-2111 - 3196ST,,,,1679379,14935,O4300 Cooker Equipment
7972,100-PUMP-824,O4300 Cooker Bearing Oil Pump,false,A,PUMP,SCOTT INDUSTRY SYSTEMS,150592,,,,1679402,23671,"Cooker, O4300 Bearing Lube System"
7973,100-PUMP-825,"PUMP, Raw Material N4300",false,A,PUMP,,,,,,1677943,14941,200U Raw
7974,100-MAGNET-18,"del MAGNET, Raw Material N4300 & 200U",false,A,MAGNET,,,,,,,7852,Obsolete Assets - Do not use
7979,100-PUMP-00429,N4300 Cooker Bearing Oil Pump #2 (Discharge End),false,A,PUMP,SCOTT INDUSTRY SYSTEMS,150592,,,,1679402,23680,N4300 Cooker Bearing #2 (Discharge End) Lube System
7980,100-SUMP-820,"SUMP, Poultry Raw Pit (3x3)",false,A,SUMP,,,,,,1674969,14979,SUMPS
7983,100-CENTRIFUGE-00426,"CENTRIFUGE, n4300",false,A,CENTRIFUGE,,,,,,1679402,14946,N4300 Cooking
7984,100 PUMP-00425,N4300 Centrifuge Bearing Oil Pump,false,A,PUMP,DUPPS COMPANY 720,DUPPS Duke 45,,,,1676942,23686,N4300 Centrifuge Bearing Lube System
8074,100-PUMP-00424,"PUMP, Centrifuge Discharge N4300",false,A,PUMP,,,,,,1676942,14946,N4300 Cooking
8075,100-PUMP-00416,"PUMP, Press Fines N4300",false,A,PUMP,,,,,,1676942,14947,N4300 Pressing
8076,100-100-PUMP-00421,"PUMP, Drainor N4300",false,A,PUMP,,,,,,1662352,14946,N4300 Cooking
8077,100-SCREW CONVEYOR-00419,"SCREW CONVEYOR, Drainor Discharge n4300",false,A,SCREW CONVEYOR,,,,,,1676942,14946,N4300 Cooking
8105,100-FAN-00433,"CONDENSER, 1A Air N4300",false,A,Fan,,,,,,1679471,33613,N4300 Cooker Air-Cooled  Condenser (1-east)
8106,100-FAN-00449,"CONDENSER, 2A Air  N4300",false,A,Fan,,,,,,1679471,33611,N4300 Cooker Air-Cooled Condenser (2-west)
8107,100-FAN-00434,"CONDENSER, 1B Air N4300",false,A,Fan,,,,,,1679471,33613,N4300 Cooker Air-Cooled  Condenser (1-east)
8108,100-FAN-00450,"CONDENSER, 2B Air  N4300",false,A,Fan,,,,,,1679471,33611,N4300 Cooker Air-Cooled Condenser (2-west)
8114,100-SCREW CONVEYOR-00402,"SCREW CONVEYOR, Crax Screw #6 n4300",false,A,SCREW CONVEYOR,Jay Gee Manufacturing,12,,,,1676942,14947,N4300 Pressing
8115,100-BUCKET ELEVATOR-00407,"BUCKET ELEVATOR, Crax N4300",false,A,BUCKET ELEVATOR,,,,,,1676942,14947,N4300 Pressing
8116,100-SCREW CONVEYOR-00401,"SCREW CONVEYOR, Crax Cross n4300",false,A,SCREW CONVEYOR,,,,,,1676942,14947,N4300 Pressing
8124,100-PUMP-00409,"PUMP, Press Gearbox Oil Cooler N4300",false,A,PUMP,,,,,,1497331,7532,"SCREW PRESS, n4300 (Haarslev)"
8126,100-SCREW CONVEYOR-898,"SCREW CONVEYOR, Roof Screw #5 (Meal Screw)",false,A,SCREW CONVEYOR,,,,,,1676933,14952,1800 Cook Line Grinding
8128,100-SCREW CONVEYOR-899,"SCREW CONVEYOR, Roof 1, 1800",false,A,SCREW CONVEYOR,,,,,,1676933,14952,1800 Cook Line Grinding
8129,100-SCREW CONVEYOR-900,"SCREW CONVEYOR, Roof 2, 1800",false,A,SCREW CONVEYOR,,,,,,1676933,14952,1800 Cook Line Grinding
8130,100-SCREW CONVEYOR-901,"SCREW CONVEYOR, Roof 3, 1800",false,A,SCREW CONVEYOR,,,,,,1681389,14952,1800 Cook Line Grinding
8131,100-SCREW CONVEYOR-902,"SCREW CONVEYOR, Roof 4, 1800",false,A,SCREW CONVEYOR,,,,,,1676933,14952,1800 Cook Line Grinding
8132,100-SCREW CONVEYOR-01005,"SCREW CONVEYOR, 1800 Screen Finished",false,A,SCREW CONVEYOR,,,,,,1682307,14952,1800 Cook Line Grinding
8133,100-SEDIMENTER-15,"Screen, 1800",false,A,SEDIMENTER,,,,,,512311,7852,Obsolete Assets - Do not use
8134,100-SCREW CONVEYOR-904,"SCREW CONVEYOR, 1800 Mill Discharge #2",false,A,SCREW CONVEYOR,,,,,,1676933,14952,1800 Cook Line Grinding
8135,100-SCREW CONVEYOR-905,"SCREW CONVEYOR, 1800 Mill Discharge #1",false,A,SCREW CONVEYOR,,,,,,1676933,14952,1800 Cook Line Grinding
8136,100-SCREW CONVEYOR-906,"SCREW CONVEYOR, 1800 Mill Feed",false,A,SCREW CONVEYOR,,,,,,1676933,14952,1800 Cook Line Grinding
8137,100-SCREW CONVEYOR-01010,"SCREW CONVEYOR, 1800 Mill Rotolift",false,A,SCREW CONVEYOR,,,,,,1676933,14952,1800 Cook Line Grinding
8138,100-SCREW CONVEYOR-01011,"SCREW CONVEYOR, 1800 Screen Overs",false,A,SCREW CONVEYOR,,,,,,1682306,14952,1800 Cook Line Grinding
8139,100-HOPPER-106,"HOPPER, n4300 Surge",false,A,HOPPER,,,,,,1678199,14945,N4300 Raw
8140,100-HOPPER-107,"HOPPER, 1800 Crax Surge",false,A,HOPPER,,,,,,1676933,14952,1800 Cook Line Grinding
8142,100-COOKER-33,*Trash* 1800 Raw Material,false,A,System,,,,,,,7296,*Trash* 1800 Cook Line
8143,100-SCREW PRESS-01020,"SCREW PRESS, 1800 (Dupps)",false,A,SCREW PRESS,,,,,,1676933,14951,1800 Cook Line Pressing
8144,100-COOKER-01036,"COOKER, 1800",false,A,COOKER,,,,,,1675153,14950,1800 Cook Line Cooking
8145,100-SCREW CONVEYOR-909,Mill 1800U,false,A,SCREW CONVEYOR,,,,,,303670,8142,*Trash* 1800 Raw Material
8147,100-FAN-01041,"Fan, Booster 1800U",false,A,Fan,,,,,,,14950,1800 Cook Line Cooking
8148,100-PUMP-01035,"PUMP, 1800 Shell Condensate",false,A,PUMP,,,,,,1676933,14950,1800 Cook Line Cooking
8149,100-SCREW CONVEYOR-000,"SCREW CONVEYOR, Cooker Feed 1800U",false,A,SCREW CONVEYOR,,,,,,1676933,7852,Obsolete Assets - Do not use
8150,100-SCREW CONVEYOR-911,"SCREW CONVEYOR, Cooker Feed Cross 1800U",false,A,SCREW CONVEYOR,,,,,,1676933,7852,Obsolete Assets - Do not use
8151,100-GRINDER-47,1800 TO POULTRY GRINDING,false,A,System,,,,,,,7296,*Trash* 1800 Cook Line
8152,100-ROTOLIFT-01016,"Rotolift, Crax Discharge 1800U",false,A,ROTOLIFT,Jay Gee Manufacturing,9,,,,575605,7852,Obsolete Assets - Do not use
8153,100-SEPARATOR-73,GREASE EXTRACTION 1800U,false,A,System,,,,,,,7296,*Trash* 1800 Cook Line
8154,100-SCREW CONVEYOR-01031,"SCREW CONVEYOR, Cooker Discharge #2 1800U",false,A,SCREW CONVEYOR,Jay Gee Manufacturing,"JAY GEE, 9",,,,1676933,14950,1800 Cook Line Cooking
8155,100-SCREW CONVEYOR-01030,"SCREW CONVEYOR, Cooker Discharge #3 1800U",false,A,SCREW CONVEYOR,Jay Gee Manufacturing,"JAY GEE, 9",,,,1676933,14950,1800 Cook Line Cooking
8159,100-SCREW CONVEYOR-01022,"SCREW CONVEYOR, Fines Return 1800",false,A,SCREW CONVEYOR,Jay Gee Manufacturing,"JAY GEE, 9",,,,1676933,14951,1800 Cook Line Pressing
8160,100-ROTOLIFT-01023,"ROTOLFT, Fines Rotolift 1800",false,A,ROTOLIFT,Jay Gee Manufacturing,"JAY GEE, 9",,,,1676933,14951,1800 Cook Line Pressing
8162,100-PUMP-01025,"Pump, Centrifuge Tallow 1800U",false,A,PUMP,The Dupps Company,"DUPPS, DUKE 45 CRUDE FAT PUMP",,,,1676933,14950,1800 Cook Line Cooking
8163,100-DRAINER-01029,DRAINOR 1800U,false,A,DRAINER,,,,,,1676933,14950,1800 Cook Line Cooking
8164,HYDRAULIC UNIT-01021,"HYDRAULIC, Press Console 1800",false,A,HYDRAULIC UNIT,Jay Gee Manufacturing,,,,,423869,7852,Obsolete Assets - Do not use
8165,100-COOKER-35,RAW MATERIAL 200U,false,A,System,,,,,,50261,7295,*Trash* 200U Cook Line
8166,100-MAGNET-21,"MAGNET, N4300",false,A,MAGNET,,,,,,1677539,14945,N4300 Raw
8167,100-FAN-125-00020,"Fan, Booster 200U",false,A,Fan,,,,,,1495564,14942,200U Cooking
8168,100-PUMP-844,"PUMP, Prehogger",false,A,PUMP,,,,,,626478,7852,Obsolete Assets - Do not use
8169,100-SCREW CONVEYOR-918,"SCREW CONVEYOR, Incline (n4300)",false,A,SCREW CONVEYOR,,,,,,1677943,14945,N4300 Raw
8170,100-DUCT-00028,"DUCT, Vapor R.V. 200U",false,A,ROTOLOCK,,,,,,727584,14942,200U Cooking
8171,100-PUMP-00437,"PUMP, 200U Cooker Feed",false,A,PUMP,,,,,,1683509,14941,200U Raw
8173,100-PUMP-00308,"PUMP, Evap Feed P8 N4300",false,A,PUMP,,,,,,1676995,7852,Obsolete Assets - Do not use
8174,100-PUMP-00302,New Evap Recirculation P1 Pump,false,A,PUMP,,,,,,1676995,15480,New Evaporator
8175,100-PUMP-00301,New Evap Recirculation P2 Pump,false,A,PUMP,,,,,,1676995,15480,New Evaporator
8176,100-PUMP-00304,New Evaporator Condenser Condensate Pump,false,A,PUMP,,,,,,1676995,33754,New Evaporator Condenser
8177,100-PUMP-00306,New Evaporator Vacuum Pump,false,A,PUMP,,,,,,1676995,15480,New Evaporator
8178,100-PUMP-00305,Evaporators CIP Pump,false,A,PUMP,,,,,,1676995,14961,Evaporators
